"attribute","probit","ergm"
"edges",117.288899999998,38.6884000000003
"esp",2271.2823,1696.1874
"ideg",33.5538,42.4466
"odeg",48.2917,61.6122
"dist",86366.259,44782.6216
"gof_stat","probit obs","probit min","probit mean","probit max","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"edges",1031,1003,1041.83,1080,"1031","881","1037.22","1209","0.84",117.288899999998,38.6884000000003,"edges"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"0",3,0.19,0,0,2,1.60300642989118e-09,"3","0","0.43","3","0.02",7.8961,6.6049,"odeg"
"1",3,0.69,1,0,3,7.04772777142192e-07,"3","0","1.11","4","0.2",5.3361,3.5721,"odeg"
"10",2,1.48,1,0,5,0.264188208266446,"2","0","0.83","3","0.38",0.2704,1.3689,"odeg"
"11",0,1.7,1.5,0,4,0.000261986516012652,"0","0","0.76","4","0.9",2.89,0.5776,"odeg"
"12",1,1.47,1,0,4,0.312885244847737,"1","0","0.64","3","1",0.2209,0.1296,"odeg"
"13",1,1.22,1,0,4,0.636651918965186,"1","0","0.71","3","1",0.0484,0.0841,"odeg"
"14",0,1.27,1,0,4,0.00639226273535539,"0","0","0.83","4","0.88",1.6129,0.6889,"odeg"
"15",2,1.22,1,0,4,0.093969554954564,"2","0","0.87","5","0.42",0.6084,1.2769,"odeg"
"16",1,1.08,1,0,5,0.863613312291387,"1","0","0.96","4","1",0.00640000000000001,0.0016,"odeg"
"17",1,1.06,1,0,4,0.897490341135828,"1","0","1.05","4","1",0.00360000000000001,0.0025,"odeg"
"18",2,1.15,1,0,6,0.0679822662105553,"2","0","1.21","5","0.7",0.7225,0.6241,"odeg"
"19",3,1.2,1,0,4,0.000111103212143885,"3","0","1.19","4","0.16",3.24,3.2761,"odeg"
"2",2,1.74,2,0,5,0.576657753078095,"2","0","1.6","5","0.94",0.0676,0.16,"odeg"
"20",0,1.05,1,0,5,0.0241606228484544,"0","0","1.37","5","0.52",1.1025,1.8769,"odeg"
"21",0,1.17,1,0,4,0.0119970873279489,"0","0","1.54","5","0.5",1.3689,2.3716,"odeg"
"22",3,1.23,1,0,4,0.000144373498019994,"3","0","1.43","4","0.4",3.1329,2.4649,"odeg"
"23",0,1.09,1,0,4,0.0192603325526645,"0","0","1.97","5","0.2",1.1881,3.8809,"odeg"
"24",2,1.16,1,0,5,0.071285831653964,"2","0","1.66","5","1",0.7056,0.1156,"odeg"
"25",0,0.83,1,0,3,0.0747198425973172,"0","0","2.02","6","0.2",0.6889,4.0804,"odeg"
"26",1,0.75,1,0,3,0.591404887549319,"1","0","2.04","6","0.76",0.0625,1.0816,"odeg"
"27",1,0.58,0,0,2,0.367149226207528,"1","0","1.86","6","0.92",0.1764,0.7396,"odeg"
"28",0,0.52,0,0,2,0.264188208266446,"0","0","2.08","7","0.22",0.2704,4.3264,"odeg"
"29",1,0.35,0,0,2,0.162809877139649,"1","0","1.9","7","0.88",0.4225,0.81,"odeg"
"3",1,2.1,2,0,5,0.0181802888624292,"1","0","1.43","4","1",1.21,0.1849,"odeg"
"30",1,0.31,0,0,3,0.13845433841717,"1","0","1.91","5","0.92",0.4761,0.8281,"odeg"
"31",0,0.36,0,0,2,0.439526024516915,"0","0","1.85","6","0.28",0.1296,3.4225,"odeg"
"32",0,0.37,0,0,2,0.426924256434911,"0","0","1.46","5","0.42",0.1369,2.1316,"odeg"
"33",1,0.37,0,0,2,0.176138954499019,"1","0","1.05","4","1",0.3969,0.0025,"odeg"
"34",2,0.44,0,0,2,0.000809166564320046,"2","0","0.74","3","0.34",2.4336,1.5876,"odeg"
"35",0,0.61,0,0,3,0.190265153543004,"0","0","0.45","4","1",0.3721,0.2025,"odeg"
"36",1,0.63,0,0,4,0.426924256434911,"1","0","0.26","2","0.48",0.1369,0.5476,"odeg"
"37",1,0.75,1,0,3,0.591404887549319,"1","0","0.27","2","0.44",0.0625,0.5329,"odeg"
"38",2,0.82,1,0,3,0.0112864655144689,"2","0","0.26","2","0.08",1.3924,3.0276,"odeg"
"39",1,0.91,1,0,4,0.846764387781171,"1","0","0.28","3","0.48",0.00809999999999999,0.5184,"odeg"
"4",0,1.71,2,0,5,0.000240922846626663,"0","0","1.68","5","0.38",2.9241,2.8224,"odeg"
"40",1,0.86,1,0,3,0.763712883783698,"1","0","0.35","2","0.64",0.0196,0.4225,"odeg"
"41",0,0.84,1,0,4,0.0712858316539641,"0","0","0.34","2","1",0.7056,0.1156,"odeg"
"42",0,0.91,1,0,4,0.0507063430748139,"0","0","0.3","2","1",0.8281,0.09,"odeg"
"43",1,0.77,1,0,3,0.621407049131114,"1","0","0.37","3","0.62",0.0529,0.3969,"odeg"
"44",1,0.72,1,0,3,0.547695174446709,"1","0","0.3","1","0.6",0.0784,0.49,"odeg"
"45",0,0.65,1,0,3,0.162809877139649,"0","0","0.28","2","1",0.4225,0.0784,"odeg"
"46",0,0.7,1,0,3,0.132827805449467,"0","0","0.44","2","1",0.49,0.1936,"odeg"
"47",1,1,1,0,4,1,"1","0","0.33","2","0.64",0,0.4489,"odeg"
"48",1,1.04,1,0,3,0.931555288091369,"1","0","0.17","1","0.34",0.0016,0.6889,"odeg"
"49",0,0,0,0,0,1,"1","0","0.07","1","0.14",0,0.8649,"odeg"
"5",2,1.48,1,0,5,0.264188208266446,"2","0","1.43","4","0.96",0.2704,0.3249,"odeg"
"6",0,1.65,1.5,0,5,0.000395770077777875,"0","0","1.23","6","0.54",2.7225,1.5129,"odeg"
"7",1,1.61,1.5,0,5,0.190265153543004,"1","0","0.89","4","1",0.3721,0.0121,"odeg"
"8",1,1.52,1,0,5,0.264188208266446,"1","0","1.02","4","1",0.2704,0.000400000000000001,"odeg"
"9",1,1.58,1,0,5,0.212992480157959,"1","0","0.78","3","1",0.3364,0.0484,"odeg"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"1",1031,1041.83,1041.5,1003,1080,0.987038471575606,"1031","881","1037.22","1209","0.84",117.288899999998,38.6884000000003,"dist"
"2",1140,1375.54,1376.5,1295,1444,0.723846571272544,"1140","1172","1306.52","1439","0",55479.0916,27728.9104,"dist"
"3",132,23.32,19,0,81,0.870498094077039,"132","10","74.6","165","0.12",11811.3424,3294.76,"dist"
"4",0,0,0,0,0,1,"0","0","1.78","36","1",0,3.1684,"dist"
"Inf",147,9.31,0,0,98,0.836367254932339,"147","0","29.88","147","0.02",18958.5361,13717.0944,"dist"
